id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster
4nuUssdgKFy2QyYHHNkZQW,0.543,0.944,-7.495,0.0543,0.402,0.000564,0.0373,0.735,101.174,279440,5
4bHsxqR3GMrXTxEPLuK5ue,0.5,0.748,-9.072,0.0363,0.127,0.0,0.447,0.514,118.852,250987,7
5OQsiBsky2k2kDKy2bX2eT,0.465,0.919,-4.025,0.0408,1.83e-05,2.07e-05,0.262,0.537,135.997,235293,4
43DeSV93pJPT4lCZaWZ6b1,0.445,0.706,-9.803,0.0461,0.234,0.000252,0.205,0.768,80.823,266720,5
7EZC6E7UjZe63f1jRmkWxt,0.309,0.649,-8.994,0.035,0.0158,0.00591,0.367,0.312,166.915,306440,4
0cJPLFrlV7TTCyPLupHzcH,0.686,0.92,-6.231,0.0566,0.301,0.27,0.0807,0.225,135.027,511400,6
3IOQZRcEkplCXg6LofKqE9,0.336,0.792,-10.875,0.084,0.00351,0.00175,0.0437,0.427,155.587,355304,4
29SyMC0plk6qw8NMF7lfRL,0.573,0.939,-6.441,0.0808,0.493,0.0,0.0994,0.963,137.382,134253,5
3MODES4TNtygekLl146Dxd,0.468,0.607,-11.367,0.0336,0.072,0.000852,0.225,0.886,98.429,263333,5
7snQQk1zcKl8gZ92AnueZW,0.446,0.952,-5.321,0.0523,0.0901,0.0857,0.112,0.624,125.303,356067,4
5SAUIWdZ04OxYfJFDchC7S,0.632,0.586,-11.333,0.0284,0.0983,0.581,0.0535,0.89,114.243,342173,10
3qLZ866ZfaK0B0R5FIqXLG,0.55,0.765,-8.684,0.0287,4.76e-06,0.873,0.132,0.419,139.46,252533,10
3RZMzCvYsmJ0u2ioKTOsmJ,0.562,0.779,-6.705,0.0592,0.363,0.0292,0.066,0.967,119.602,179387,5
7ygpwy2qP3NbrxVkHvUhXY,0.375,0.893,-4.097,0.0406,0.000509,0.0,0.187,0.434,174.323,258773,4
6qLEOZvf5gI7kWE63JE7p3,0.215,0.927,-7.327,0.0452,0.000273,0.00661,0.126,0.49,170.814,194853,4
58XWGx7KNNkKneHdprcprX,0.482,0.617,-12.931,0.0458,0.00543,0.000146,0.284,0.718,125.697,252493,4
6zeE5tKyr8Nu882DQhhSQI,0.475,0.322,-10.687,0.0283,0.367,0.00056,0.11,0.387,93.503,206267,3
669cOBjpY4Y5O98Nmk6139,0.524,0.953,-7.097,0.0416,0.00757,5.02e-06,0.771,0.869,133.828,253827,7
4nXkbcTj3nyww1cHkw5RAP,0.575,0.912,-7.275,0.0393,0.0916,0.00211,0.0562,0.843,117.399,207267,5
5LNiqEqpDc8TuqPy79kDBu,0.591,0.804,-7.299,0.0454,0.327,5.98e-06,0.0818,0.658,111.457,329413,5
3QZ7uX97s82HFYSmQUAN1D,0.536,0.901,-7.211,0.0374,0.00145,0.0186,0.06,0.666,87.559,276880,5
1OxcIUqVmVYxT6427tbhDW,0.587,0.872,-5.066,0.0484,0.018,0.0,0.622,0.735,159.925,221333,7
1oYYd2gnWZYrt89EBXdFiO,0.577,0.808,-7.04,0.039,0.0338,1.33e-05,0.221,0.869,151.008,290280,5
54bm2e3tk8cliUz3VSdCPZ,0.539,0.828,-9.108,0.035,0.00067,0.421,0.154,0.562,105.25,515387,6
5QTxFnGygVM4jFQiBovmRo,0.333,0.927,-8.55,0.0733,0.0029,0.000208,0.297,0.385,141.466,308120,4
6eN1f9KNmiWEhpE2RhQqB5,0.268,0.98,-5.958,0.103,0.0192,0.00709,0.182,0.395,100.315,405600,4
73TxYZd0lBCVRrHawrAglA,0.379,0.76,-10.961,0.0378,0.00298,0.0296,0.104,0.491,99.436,274088,4
0RO9W1xJoUEpq5MEelddFb,0.338,0.34,-12.049,0.0339,0.58,0.0032,0.116,0.197,82.433,482830,6
0ofHAoxe9vBkTCp2UQIavz,0.828,0.492,-9.744,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800,1
7tFiyTwD0nx5a1eklYtX2J,0.392,0.402,-9.961,0.0536,0.288,0.0,0.243,0.228,143.883,354320,6
0vFOzaXqZHahrZp6enQwQb,0.468,0.536,-10.422,0.144,0.024,0.00199,0.269,0.785,126.256,382834,6
3d9DChrdc6BOeFsbrZ3Is0,0.559,0.345,-13.496,0.0459,0.0576,0.000105,0.141,0.458,84.581,264307,9
4gvea7UlDkAvsJBPZAd4oB,0.516,0.549,-13.741,0.0373,0.501,0.00572,0.184,0.907,176.941,288733,1
2zYzyRzz6pRmhPzyfMEC8s,0.574,0.913,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,208400,4
0rmGAIH9LNJewFw7nKzZnc,0.541,0.96,-2.947,0.0505,0.0663,2.25e-06,0.344,0.812,122.803,222707,5
6L89mwZXSOwYl76YXfX13s,0.442,0.943,-3.205,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,181533,5
51H2y6YrNNXcy3dfc3qSbA,0.729,0.989,-4.613,0.049,0.0102,4.45e-05,0.443,0.84,126.47,352906,7
20OFwXhEXf12DzwXmaV7fj,0.508,0.774,-5.973,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,141600,5
2EoOZnxNgtmZaD8uUmz2nD,0.35,0.828,-5.373,0.041,0.000217,0.000161,0.0774,0.147,105.435,318587,4
5eU8qMd0TpaLqTGDZJaLDs,0.801,0.723,-4.985,0.0689,0.0713,0.154,0.0675,0.883,109.03,180518,5
4c4jJJoaiY21t2TyRZgdWS,0.64,0.651,-14.981,0.0517,0.142,0.28,0.0341,0.801,111.676,271573,1
1hHGUdFaiJHw9hVZGJWYO2,0.585,0.532,-9.673,0.0268,0.209,0.00797,0.227,0.68,94.461,180067,1
5tVA6TkbaAH9QMITTQRrNv,0.623,0.449,-13.333,0.0253,0.212,0.0,0.0613,0.572,84.383,256000,1
2EqlS6tkEnglzr7tkKAAYD,0.533,0.376,-11.913,0.0393,0.0302,0.248,0.0926,0.187,165.007,259947,4
3q9npStSssk7sZWotiNQLK,0.252,0.797,-3.877,0.0328,0.00458,0.424,0.344,0.199,77.972,535733,6
5Th6EdNVhxp0TPX41ZLZk6,0.45,0.877,-6.403,0.0532,0.0118,4.95e-05,0.0699,0.896,162.477,212707,4
0cKk8BKEi7zXbdrYdyqBP5,0.394,0.622,-8.258,0.0336,0.213,4.45e-05,0.0892,0.342,126.844,221427,4
6ToM0uwxtPKo9CMpbPGYvM,0.421,0.751,-9.584,0.0472,0.2,0.0,0.17,0.789,89.839,145867,5
1qOU8KzFifXE9YrgjVwYvc,0.292,0.823,-6.763,0.0407,0.0117,7.79e-05,0.155,0.244,89.939,275395,4
4DMKwE2E2iYDKY01C335Uw,0.482,0.786,-5.735,0.032,0.00321,8.88e-05,0.446,0.793,126.755,323000,7
6mFkJmJqdDVQ1REhVfGgd1,0.481,0.262,-15.73,0.0414,0.735,0.0114,0.832,0.375,122.861,334744,7
11LmqTE2naFULdEP94AUBa,0.256,0.641,-10.283,0.0552,0.199,0.0329,0.0853,0.382,203.006,281160,4
0Puj4YlTm6xNzDDADXHMI9,0.324,0.938,-7.332,0.102,0.032,0.0321,0.0961,0.543,168.131,178440,4
2HXixVqzzm9rEUIMAWzshl,0.611,0.882,-11.225,0.0538,0.0847,1.08e-06,0.192,0.605,117.932,246800,5
57iDDD9N9tTWe75x6qhStw,0.356,0.917,-6.006,0.0479,0.0335,0.0,0.406,0.518,171.176,357267,4
1L94M3KIu7QluZe63g64rv,0.284,0.875,-6.069,0.0422,0.00752,0.000461,0.402,0.595,75.009,340907,7
5PntSbMHC1ud6Vvl8x56qd,0.654,0.611,-10.45,0.119,0.0337,0.000178,0.405,0.786,85.387,235000,7
3KPwt1LBpt1jVSHz8GXERo,0.543,0.529,-9.717,0.0301,0.326,0.00269,0.709,0.746,85.126,313840,7
0wJoRiX5K5BxlqZTolB2LD,0.533,0.905,-5.27,0.0754,0.00876,0.578,0.0698,0.486,108.9,170813,10
6imjJij6aCM0IbbODUzJQn,0.465,0.977,-3.839,0.175,0.00111,0.00298,0.201,0.233,89.535,284027,4
6NvRxjfYkkT2SpirAlmsjH,0.507,0.588,-4.881,0.0641,0.0359,0.000129,0.373,0.637,170.889,278707,4
5QLHGv0DfpeXLNFo7SFEy1,0.767,0.787,-9.897,0.0331,0.0163,0.583,0.0513,0.964,126.879,266200,10
1bp2IO61zbQrbWNmKKxg3f,0.596,0.448,-9.616,0.0396,0.365,5.3e-06,0.206,0.796,83.293,264504,1
4alHo6RGd0D3OUbTPExTHN,0.619,0.579,-9.307,0.0473,0.0152,6.4e-05,0.0858,0.69,127.224,225627,5
1QEEqeFIZktqIpPI4jSVSF,0.377,0.681,-8.039,0.0298,0.00088,0.0023,0.0504,0.285,108.789,285133,4
6VoIBz0VhCyz7OdEoRYDiA,0.634,0.551,-7.136,0.0352,0.00737,1.82e-05,0.07,0.453,151.779,258827,4
59WN2psjkt1tyaxjspN8fp,0.466,0.833,-4.215,0.304,0.0266,0.0,0.0327,0.661,88.785,313573,8
2PzU4IB8Dr6mxV3lHuaG34,0.723,0.863,-7.89,0.0338,0.0383,0.0317,0.128,0.931,136.302,222813,5
78JmElAFmrPNhLjovDR9Jm,0.551,0.86,-7.839,0.0796,0.262,4.57e-06,0.0558,0.723,136.921,141507,5
2d4e45fmUnguxh6yqC7gNT,0.668,0.906,-4.881,0.17,0.214,0.00245,0.135,0.507,135.653,231933,4
1fDsrQ23eTAVFElUMaf38X,0.531,0.481,-11.709,0.06,0.699,0.0,0.0842,0.491,138.45,516893,6
1gzIbdFnGJ226LTl0Cn2SX,0.673,0.814,-5.411,0.0367,0.0133,0.00293,0.343,0.728,147.193,252200,5
05NYcsjJwOYq4jIiKPVj9p,0.599,0.79,-3.58,0.043,0.00257,0.00181,0.312,0.961,103.783,188067,5
4YMQXzscifAREG0a7KNGhB,0.489,0.349,-14.295,0.0323,0.676,0.0789,0.0866,0.622,124.348,196467,3
3SUusuA9jH1v6PVwtYMbdv,0.624,0.899,-5.709,0.0296,0.0221,0.000137,0.0975,0.79,104.061,193373,5
0emHuukZSuaOzOlsAWHj2W,0.538,0.841,-7.547,0.0375,0.0424,0.00177,0.312,0.881,93.077,231640,5
